Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,
4/24/2017 0:00,0.021,0.02,0.044,0.008,FALSE,TRUE,TRUE,TRUE,1.597006462,1.597006462,0,
6/12/2017 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,TRUE,1.624470192,1.617660727,-0.006809465,
6/13/2017 0:00,0.021,0.02,0.044,0.008,FALSE,TRUE,TRUE,TRUE,1.635666639,1.606151668,-0.029514971,
6/19/2017 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,TRUE,1.624743602,1.617391982,-0.007351621,
7/13/2017 0:00,0.021,0.02,0.044,0.008,FALSE,TRUE,TRUE,TRUE,1.644536139,1.636144772,-0.008391367,
8/9/2017 0:00,0.03,0.03,0.038,0.013,FALSE,FALSE,FALSE,TRUE,1.686290652,1.666218322,-0.02007233,
8/21/2017 0:00,0.021,0.02,0.044,0.008,FALSE,TRUE,TRUE,TRUE,1.703552888,1.659372317,-0.044180571,
8/28/2017 0:00,0.03,0.03,0.038,0.013,FALSE,FALSE,FALSE,TRUE,1.694794368,1.688744261,-0.006050107,
8/29/2017 0:00,0.021,0.02,0.044,0.008,FALSE,TRUE,TRUE,TRUE,1.69463796,1.688936449,-0.005701511,
8/30/2017 0:00,0.03,0.03,0.038,0.013,FALSE,FALSE,FALSE,TRUE,1.695646428,1.687886996,-0.007759433,
9/1/2017 0:00,0.021,0.02,0.044,0.008,FALSE,TRUE,TRUE,TRUE,1.700853134,1.682759007,-0.018094127,
10/24/2017 0:00,0.022,0.03,0.065,0.023,FALSE,TRUE,TRUE,TRUE,1.838440716,1.835176418,-0.003264299,
10/25/2017 0:00,0.021,0.02,0.044,0.008,FALSE,TRUE,TRUE,TRUE,1.844594584,1.828765378,-0.015829207,
11/1/2017 0:00,0.022,0.03,0.065,0.023,FALSE,TRUE,TRUE,TRUE,1.870154326,1.840846541,-0.029307786,
11/24/2017 0:00,0.025,0.03,0.065,0.023,FALSE,TRUE,TRUE,TRUE,1.849870706,1.818537579,-0.031333126,
11/27/2017 0:00,0.022,0.03,0.065,0.023,FALSE,TRUE,TRUE,TRUE,1.847827581,1.819853735,-0.027973846,-0.261633766
1/2/2018 0:00,0.025,0.02,0.042,0.013,FALSE,FALSE,FALSE,TRUE,1.834435574,1.810469175,-0.0239664,
1/8/2018 0:00,0.026,0.02,0.029,0.002,FALSE,FALSE,FALSE,TRUE,1.828584853,1.827350027,-0.001234826,
1/9/2018 0:00,0.025,0.02,0.042,0.013,FALSE,FALSE,FALSE,TRUE,1.836623758,1.819604025,-0.017019733,
1/30/2018 0:00,0.03,0.03,0.038,0.013,FALSE,FALSE,FALSE,TRUE,1.930904176,1.922506491,-0.008397685,
2/2/2018 0:00,0.025,0.02,0.042,0.013,FALSE,FALSE,FALSE,TRUE,1.943008298,1.923717515,-0.019290783,
2/5/2018 0:00,0.03,0.03,0.038,0.013,FALSE,FALSE,FALSE,TRUE,1.946139899,1.920163428,-0.025976471,
2/28/2018 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,TRUE,1.983091515,1.976571753,-0.006519762,
3/23/2018 0:00,0.027,0.07,0.053,0.013,FALSE,TRUE,FALSE,TRUE,2.014428007,1.985636998,-0.028791009,
3/26/2018 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,TRUE,2.007568159,1.992780083,-0.014788076,
3/27/2018 0:00,0.027,0.07,0.053,0.013,FALSE,TRUE,FALSE,TRUE,2.006181098,1.994165783,-0.012015316,
3/28/2018 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,TRUE,2.005131363,1.995216631,-0.009914732,
3/29/2018 0:00,0.027,0.07,0.053,0.013,FALSE,TRUE,FALSE,TRUE,2.01765318,1.982692537,-0.034960643,
6/22/2018 0:00,0.033,0.07,0.032,0.028,FALSE,FALSE,FALSE,TRUE,2.029029369,2.023288907,-0.005740462,
6/23/2018 0:00,0.033,0.07,0.032,0.028,FALSE,FALSE,FALSE,TRUE,2.029029369,2.029029369,0,
