StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result,
0.027,0.07,0.053,0.013,FALSE,1.846537452,14.05817962
0.027,0.08,0.053,0.013,FALSE,1.836061149,13.97759267
0.027,0.02,0.051,0.013,FALSE,1.822483425,13.87314863
0.027,0.03,0.051,0.013,FALSE,1.817450746,13.83443572
0.031,0,0.051,0.013,FALSE,1.789645003,13.62054539
0.025,0.02,0.041,0.011,FALSE,1.785851569,13.43731927
0.031,0.01,0.051,0.013,FALSE,1.784682211,13.58237007
0.031,0.02,0.051,0.013,FALSE,1.778944354,13.53823271
0.026,0.02,0.041,0.01,FALSE,1.775343971,13.51033927
0.031,0.03,0.051,0.013,FALSE,1.772326248,13.4873242
